id,state_or_ut,scope,scheme_name,tag,ministry,benefit,annual,application_url,application_type,relevance_tier,source_file
delhi_erickshaw_loan,Delhi,state,Delhi E-Rickshaw Purchase Loan & Subsidy Scheme,livelihood,Delhi Transport Dept. / DSCSTFDC / Delhi EV Cell,"Subsidised loan of ₹50,000–₹1.2 lakh at low interest for purchasing e-rickshaw; 25% additional subsidy for SC/ST, women & BPL applicants; includes free e-rickshaw training & badge",120000,transport.delhi.gov.in / ev.delhi.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/delhi.js
goa_cm_rozgar_yojana,Goa,state,Chief Minister's Rozgar Yojana (Goa),youth; self-employment; loan,Goa Dept. of Labour & Employment,"Subsidised loans of ₹10–25 lakh for Goa domicile youth (18–45 years) to start self-employment ventures; 30% capital subsidy (max ₹3 lakh) for general category; 40% subsidy for SC/ST/Women/differently-abled; repayable in 5–7 years; covers trade, service, and manufacturing sectors",2500000,labour.goa.gov.in / District Employment Exchange,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/goa.js
gujarat_cold_chain,Gujarat,state,Cold Storage & Warehouse Subsidy – Agri Infra (Gujarat),farmer; agri infra,Gujarat Agriculture & APMC – Agri Infrastructure Fund,"25–40% capital subsidy for construction of cold storage, pack houses & primary processing units for farmers / FPOs",100000,https://msmeloans.in/aif-agriculture-infrastructure-fund-for-cold-storage,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_divyang_employment,Gujarat,state,Divyang Self-Employment Scheme (Gujarat),disability; self-employment,Gujarat Social Justice & Empowerment Dept.,50% subsidy up to ₹2 Lakh for disabled persons to set up a small business or shop,200000,https://www.myscheme.gov.in/schemes/sesg,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_urban_livelihood,Gujarat,state,Gujarat Urban Livelihood Mission – Self-Employment Loan (GULP),labour; urban poor,Gujarat Urban Development Dept. – GULP / NULM,"Loan up to ₹2 Lakh at 7% interest + free skill training for urban street vendors, artisans & self-employed poor",200000,nulm.gov.in / local ULB office,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_manav_garima,Gujarat,state,Manav Garima Yojana (Gujarat),business; sc,Gujarat Social Justice & Empowerment Dept.,"Free toolkit worth ₹4,000 for SC artisans to start self-employment",4000,https://www.myscheme.gov.in/schemes/mgy,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_minority_loan,Gujarat,state,Minority Self-Employment Loan (Gujarat),business; minority loan,Gujarat Minority Finance & Development Corporation,"Low-interest loan up to ₹10 Lakh at 5% p.a. for entrepreneurs from Muslim, Christian, Parsi, Jain, Buddhist & Sikh communities",1000000,https://www.myscheme.gov.in/schemes/elgmfdcl,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_icreate,Gujarat,state,iCreate – Gujarat Startup Seed Funding & Incubation,business; startup,Gujarat Science & Technology Dept. / iCreate,"Seed grant up to ₹15 Lakh + mentoring, lab access & co-working space for tech startups",1500000,https://seedfund.startupindia.gov.in/portfolio,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/gujarat.js
gujarat_aajeevika,Gujarat,state,Gujarat Aajeevika Mission – SHG Revolving Fund & Livelihood,women; rural livelihood,Gujarat Rural Livelihood Mission (GRLM – Aajeevika),"₹15,000 revolving fund per SHG + bank linkage, livelihood training & market access for rural poor women",15000,glpc.gujarat.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/gujarat.js
gujarat_handloom_weaver,Gujarat,state,Handloom Weaver Welfare – Yarn & Loom Subsidy (Gujarat),labour; handloom,Gujarat Handloom Corporation / Industries Dept.,50% subsidy on yarn & tools + ₹2 Lakh upgraded loom grant + marketing support for registered handloom weavers,24000,industries.gujarat.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/gujarat.js
gujarat_machhi_mar,Gujarat,state,Machhi Mar Kalyan Yojana – Fishermen Welfare (Gujarat),fishermen; welfare,Gujarat Fisheries Dept.,₹2 Lakh accident insurance + 50% subsidy on boat & net equipment for registered fishermen,50000,https://www.myscheme.gov.in/schemes/ascfsrguj,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/gujarat.js
gujarat_mahila_utkarsh,Gujarat,state,Mukhyamantri Mahila Utkarsh Yojana (Gujarat),women; shg,Gujarat Finance Dept. / SEWA Bank,Interest-free loan up to ₹1 Lakh for women SHGs (SWAMIH / SHRI groups),100000,https://sje.gujarat.gov.in/gntdnt/Women-affluence-scheme,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/gujarat.js
gujarat_pashu_sahay,Gujarat,state,Pashu Palan Sahay – Livestock Purchase Subsidy (Gujarat),farmer; livestock,Gujarat Animal Husbandry Dept.,"50% subsidy (SC/ST) · 25% (Others) on purchase of milch cattle, goats & poultry units",50000,https://macrofinance.nipfp.org.in/PDF/10_Sugoor_Micro_Irrigation_in_Gujarat.pdf,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/gujarat.js
haryana_mahila_samridhi,Haryana,state,Mahila Samridhi Yojana (Haryana),women; sc self-employment,Haryana SC & BC Finance & Dev. Corp. (HSFDC),"Loan up to ₹60,000 at 5% interest/year for SC women self-employment",60000,hsfdc.org.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/haryana.js
haryana_pashu_credit,Haryana,state,Pashu Kisan Credit Card (Haryana),farmer; livestock loan,"Animal Husbandry & Dairying Dept., Haryana","Livestock loan — ₹40,783/cattle · ₹60,249/buffalo · ₹4,063/sheep/goat · at 4% interest with state interest subvention",40783,pashudhanharyana.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/haryana.js
haryana_swarna_jayanti,Haryana,state,Swarna Jayanti Anusuchit Jaati Utthan Yojana,business; sc youth loan,"Welfare of SC & BC Dept., Haryana",Interest-free loan up to ₹5 Lakh for SC youth to start new business/enterprise,500000,haryanascbc.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/haryana.js
haryana_pashudhan_bima,Haryana,state,Pashudhan Bima Yojana (Haryana),farmer; livestock insurance,"Animal Husbandry & Dairying Dept., Haryana",Livestock insurance at 50% subsidised premium (70% for SC/ST/BPL farmers),100000,pashudhanharyana.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/haryana.js
hp_handicraft_handloom,Himachal Pradesh,state,HP Handicraft & Handloom Development Scheme,business,HP Industry Dept. / HP Handicrafts & Handloom Corp.,50% subsidy on loom/tool purchase + free skill training + e-commerce marketing support for weavers & artisans,100000,hpkvib.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_homestay,Himachal Pradesh,state,HP Homestay Scheme,business,HP Tourism & Civil Aviation Dept.,Up to ₹1.5 Lakh one-time grant + interest subsidy on loan for setting up a registered homestay for rural households,150000,hptdc.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_startup_policy,Himachal Pradesh,state,HP StartUp Policy 2019,business,HP Industries Dept. / StartUp Cell,Seed grant up to ₹10 Lakh + 3-year electricity & rent subsidy + mentorship for innovative startups by HP youth,1000000,https://emerginghimachal.hp.gov.in/startup,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_swavlamban,Himachal Pradesh,state,Mukhya Mantri Swavlamban Yojana,business,HP Industries Dept.,25–35% capital subsidy on plant & machinery for starting own enterprise (up to ₹60 Lakh project),6000000,https://mmsy.hp.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_svanidhi,Himachal Pradesh,state,PM SVANidhi – Street Vendor Micro-Credit (HP),business,HP Urban Development Dept. / MoHUA,"Collateral-free working capital loan: ₹10,000 (1st), ₹20,000 (2nd), ₹50,000 (3rd cycle) + 7% interest subsidy for street vendors in HP towns",10000,https://www.myscheme.gov.in/schemes/pm-svanidhi,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_matsya_palan,Himachal Pradesh,state,HP Fisheries Development Scheme,farmer,HP Fisheries Dept.,"40–60% subsidy on fish pond construction, fingerlings, fish feed & fishing equipment for fish farmers",100000,hpfisheries.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/himachal_pradesh.js
hp_nari_shakti,Himachal Pradesh,state,Nari Shakti Yojana (HP),women,HP Women & Child Development Dept.,Interest-free / low-interest loans up to ₹1 Lakh for women Self-Help Groups (SHGs) + free skill training,100000,himachal.nic.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/himachal_pradesh.js
jk_tejaswini,Jammu & Kashmir,state,Tejaswini — J&K Women SHG Empowerment Scheme,women; shg; entrepreneurship,J&K Mission Shakti / Rural Development Dept.,"Interest-free loans up to ₹5 lakh for women SHG members; seed money of ₹15,000 per new SHG; revolving fund support; skill training in handicrafts (pashmina weaving, carpet making, willow wicker), food processing, and agro-based enterprises; market linkage via J&K Handicrafts Emporium and online platforms; NRLM-backed community investment fund of ₹2.5 lakh per village organisation",500000,https://jkrlm.nic.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/jammu_kashmir.js
jharkhand_rojgar_srijan,Jharkhand,state,Mukhyamantri Rojgar Srijan Yojana,business; self-employment,Jharkhand Dept. of SC / ST / OBC & Minority Welfare,Up to ₹25 Lakh loan for business setup · 40% subsidy (max ₹5L) for SC/ST/OBC/Minority/Women/Divyang,2500000,https://jharkhand.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/jharkhand.js
jharkhand_phulo_jhano,Jharkhand,state,Phulo Jhano Ashirwad Yojana,women; livelihood,Jharkhand Women & Child Dev. Dept.,Self-employment loan + skill training for women leaving liquor trade,100000,jharkhand.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/jharkhand.js
jharkhand_matsyajivi,Jharkhand,state,Jharkhand Matsyajivi Kalyan Yojana,fishermen; livelihood,Jharkhand Dept. of Animal Husbandry & Fisheries,"50% subsidy on fishing nets, boats & equipment + accident insurance for registered fishermen",10000,jharkhand.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/jharkhand.js
jharkhand_johar,Jharkhand,state,Jharkhand Opportunities for Harnessing Rural Growth (JOHAR),tribal; livelihood,Jharkhand Rural Dev. Dept. (JSLPS),"₹15,000 seed capital per SHG + skill training + market linkage for tribal & rural women",15000,jslps.jharkhand.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/jharkhand.js
jharkhand_pashudhan,Jharkhand,state,Mukhyamantri Pashudhan Vikas Yojana,livestock; farmer,Jharkhand Dept. of Animal Husbandry,50%–75% subsidy on purchase of cattle / goat / poultry + free livestock insurance,30000,jharkhand.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/jharkhand.js
karnataka_devaraj_urs_loan,Karnataka,state,Devaraj Urs Backward Classes Dev. Corp. Loan,business,Karnataka SC/ST Development Corp. (KSCDC),Loan ₹1–₹10 Lakh at 6% interest for SC/ST/OBC self-employment,1000000,https://tumkur.nic.in/en/d-devaraju-urs-backward-classes-development-corporation-ltd,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_divyangjan_self_employment,Karnataka,state,Divyangjan Self-Employment Loan (KA),business,Karnataka Dept. of Disabled Welfare,"Loan up to ₹5 Lakh at 4% interest + ₹25,000 margin money grant for persons with 40%+ disability to start business",500000,https://www.myscheme.gov.in/schemes/dssmp,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_handloom_weaver,Karnataka,state,Handloom Weaver Welfare & Credit Scheme,business,Karnataka Handloom & Textiles Dept.,"Subsidised yarn, free loom upgrades, health insurance ₹15,000 & ₹2 Lakh accidental death cover for weavers",200000,https://www.myscheme.gov.in/schemes/nhdpccwms,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_msme_subsidy,Karnataka,state,Karnataka MSME Investment Promotion Scheme,business,Karnataka Dept. of MSME,"15%–25% capital investment subsidy (max ₹50 Lakh), 5-year power tariff subsidy & stamp duty exemption for new MSME units in Karnataka",5000000,https://investkarnataka.co.in/wp-content/uploads/2026/04/Karnataka.pdf,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_rural_homestay,Karnataka,state,Karnataka Rural Homestay Scheme,business,Karnataka Tourism Dept. / KSTDC,Subsidy up to ₹5 Lakh & interest-free loan for setting up rural homestays + branding & listing support via KarnataKa Tourism portal,500000,https://karnatakatourism.org,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_startup_policy,Karnataka,state,Karnataka Startup Policy 2022 — Seed Fund & Incentives,business,Karnataka Innovation & Technology Society (KITS) / Dept. of IT-BT,"Seed funding ₹20–₹50 Lakh, 5-year SGST reimbursement, free co-working space & mentorship for DPIIT-recognised Karnataka startups",5000000,https://www.startupindia.gov.in/srf/portal/SRF_2026_Result_page/Karnataka_State_Report.pdf,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_pm_svanidhi,Karnataka,state,PM SVANidhi Street Vendor Loan (KA),business,Karnataka Urban Development Dept. / MoHUA,"Collateral-free working capital loan ₹10,000 → ₹20,000 → ₹50,000 in 3 cycles + digital payment incentive ₹1,200/year",1200,https://web.umang.gov.in/landing/scheme/detail/pm-street-vendors-atmanirbhar-nidhi-pm-svanidhi_pm-svanidhi.html,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_pm_vishwakarma,Karnataka,state,PM Vishwakarma Scheme (KA),business,Ministry of MSME (implemented via Karnataka MSME Dept.),"₹15,000 toolkit grant + loan ₹1–₹2 Lakh at 5% interest + free skill training for 18 traditional crafts (blacksmith, potter, carpenter, tailor etc.)",200000,https://www.myscheme.gov.in/schemes/pmv,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_sanjeevini_shg,Karnataka,state,Sanjeevini — NRLM Women SHG Credit Linkage (KA),women,Karnataka Rural Development & Panchayat Raj (RDPR) / NRLM,Bank linkage loan ₹1–₹5 Lakh at 7% interest (with 4% govt. subvention = effective 3%) for active women SHGs + enterprise support,500000,aajeevika.gov.in / Nearest NRLM Block Mission Management Unit,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_stree_shakti,Karnataka,state,Stree Shakti Self-Help Group Programme,women,Karnataka Dept. of Women & Child Development,Low-interest loans up to ₹2 Lakh + training & market linkage for women SHGs,200000,https://www.govtschemes.in/karnataka-gruha-lakshmi-scheme,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_udyogini,Karnataka,state,Udyogini — Women Entrepreneur Scheme,business,Karnataka Women Development Corp. (KWDC),Interest-free or subsidised loan ₹1–₹3 Lakh for women starting small businesses (income < ₹1.5L),300000,https://web.umang.gov.in/landing/scheme/detail/udyogini-scheme_us.html,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/karnataka.js
karnataka_fishermen_accident,Karnataka,state,Fishermen Group Accident Insurance (KA),general,Karnataka Dept. of Fisheries,₹5 Lakh death/disability cover for marine fishermen during fishing season at just ₹10 premium,500000,fisheries.karnataka.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/karnataka.js
karnataka_ksddp_dairy,Karnataka,state,KMF Dairy Development Scheme — Nandini Milk Cooperative,farmer,Karnataka Milk Federation (KMF) / Dept. of Animal Husbandry,"Subsidised cattle feed, free veterinary visits, milk procurement at guaranteed price & loan up to ₹1 Lakh for dairy farmers joining KMF cooperative",100000,kmfnandini.coop / Nearest KMF Cooperative Society,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/karnataka.js
karnataka_matsya_bhagya,Karnataka,state,Matsya Bhagya Scheme,farmer,Karnataka Dept. of Fisheries,"Subsidy up to ₹50,000 on fishing boats, nets & equipment for marine & inland fishermen",50000,https://fisheries.kerala.gov.in/sites/default/files/inline-files/4%20KARNATAKA.pdf,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/karnataka.js
karnataka_raitha_siri,Karnataka,state,Raitha Siri (Livestock Scheme),farmer,Karnataka Animal Husbandry Dept.,Subsidy up to ₹1 Lakh for purchasing milch cattle & poultry,100000,https://www.manage.gov.in/fpoacademy/SGSchemes/karnataka.pdf,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/karnataka.js
kerala_sc_dev_corp,Kerala,state,KSCDC Subsidized Loan for SC/ST Entrepreneurs,business,Kerala State SC / ST Development Corp (KSCDC),"Loans ₹50,000–₹5 Lakh at 4–6% interest for self-employment and business for SC/ST",500000,kscdc.net,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/kerala.js
kerala_startup_mission,Kerala,state,KSUM Startup Seed Fund & Incubation Support,business,Kerala Startup Mission (KSUM),Seed funding up to ₹10 Lakh + free co-working space + mentoring for tech startups,1000000,https://startupmission.kerala.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/kerala.js
kerala_kswdc_loan,Kerala,state,KSWDC Women Entrepreneur Loan & Training,women,Kerala State Women's Dev. Corp (KSWDC),"Loans ₹50,000–₹3 Lakh at 4% interest + free entrepreneurship training for women",300000,kswdc.org,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/kerala.js
kerala_artisan_welfare,Kerala,state,KVIB Artisan & Handloom Worker Welfare Scheme,business,Kerala Khadi & Village Industries Board (KVIB),"Insurance ₹2 Lakh + pension ₹1,000/month + tool kit grant ₹5,000 for registered artisans",12000,kvib.kerala.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/kerala.js
kerala_kudumbashree,Kerala,state,Kudumbashree Women Micro-Enterprise Scheme,women,"Kudumbashree Mission, Kerala","Subsidized loans ₹15,000–₹5 Lakh + livelihood training for women SHGs",500000,kudumbashree.org,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/kerala.js
kerala_fishermen_welfare,Kerala,state,Kerala Matsyafed / Fishermen Welfare Scheme,farmer,Kerala Fisheries Dept.,Accident insurance ₹2 Lakh + saving-cum-relief of ₹600/month during lean season,7200,fisheries.kerala.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/kerala.js
ladakh_umeed_shg,Ladakh,state,Umeed — Women SHG & Livelihood Scheme (Ladakh),women; shg; livelihood,Ladakh UT Rural Development Dept. / National Rural Livelihoods Mission (NRLM),"Interest-free revolving fund of ₹15,000 per SHG; credit linkage with banks for loans up to ₹6 lakh at 7% interest (with 3% subvention making it 4% effective); seed capital of ₹10,000 for new SHGs; skill training in handicrafts (Thangka painting, carpet weaving, dried apricot processing, yak-wool products); marketing linkage with national platforms; ₹500/month capacity-building stipend during training",600000,Nearest Block Development Office (BDO) or Umeed CRP / SHG facilitator in village,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/ladakh.js
ladakh_pashmina_development,Ladakh,state,Pashmina Development Programme (Ladakh UT),farmer; pashmina; herder,Ladakh UT Animal Husbandry & Sheep Husbandry Dept.,"Financial assistance of ₹10,000–₹25,000 per herder household for Pashmina goat rearing and wool processing; subsidised veterinary support and medicines for Changra goats; free training in Pashmina combing, spinning and weaving; marketing support through GI-tagged 'Ladakhi Pashmina' branding; improved breed distribution; special incentives for Changpa nomad community of Changthang plateau",25000,"Ladakh UT Animal Husbandry Dept. / LAHDC office, Leh or Kargil",District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/ladakh.js
mp_swarojgar,Madhya Pradesh,state,Mukhyamantri Swarojgar Yojana (MP),business; self-employment,MP MSME Dept.,"Self-employment loan ₹50,000–₹10 Lakh · 15% subsidy (general) or 30% (SC/ST/Women/Divyang)",1000000,https://msme.mponline.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/madhya_pradesh.js
mp_udyam_kranti,Madhya Pradesh,state,Mukhyamantri Udyam Kranti Yojana (MP),business; startup,MP MSME & Industry Dept.,Collateral-free loan ₹1 Lakh – ₹50 Lakh · 3% interest subvention for 7 years · No guarantor required,100000,https://msme.mponline.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/madhya_pradesh.js
mp_yuva_udyami,Madhya Pradesh,state,Mukhyamantri Yuva Udyami Yojana (MP),business; youth,MP MSME & Industry Dept.,Loan ₹10L – ₹1 Crore at 5% interest · 15–30% margin money (subsidy) for youth businesses,10000000,https://msme.mponline.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/madhya_pradesh.js
maha_agri_infra_fund,Maharashtra,state,Agriculture Infrastructure Fund (AIF) – Maharashtra,farmer; agri processing; cold storage,Maharashtra Agriculture Dept. / NABARD (AIF – Agriculture Infrastructure Fund),"3% interest subvention on loans up to ₹2 Crore for post-harvest infrastructure (cold storage, warehouses, processing units, primary processing centres) for farmers, FPOs & agri-entrepreneurs",20000000,https://agriinfra.dac.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_annasaheb_patil,Maharashtra,state,Annasaheb Patil Loan Scheme,business; obc,Maharashtra MAVIM / Annasaheb Patil Corp.,Interest-free/subsidised loan up to ₹10 Lakh for OBC entrepreneurs,1000000,https://udyog.mahaswayam.gov.in/public/index.php,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_gems_jewellery_skill,Maharashtra,state,Certificate Course in Gems & Jewellery Sector (Maharashtra 2025),skill; youth; artisan,"Maharashtra Skills, Employment, Entrepreneurship & Innovation Dept.","Free 3–6 month certified skill training in gems, jewellery design & manufacturing at Maharashtra State Skills University centres",30000,https://bhandara.gov.in/department-of-skills-employment-entrepreneurship-and-innovation,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_fpo_support,Maharashtra,state,Formation & Promotion of Farmer Producer Organisations (FPOs) – Maharashtra,farmer; fpo; collective farming,"Maharashtra Agriculture Dept. / NABARD / SFAC (10,000 FPO Scheme)",₹18L per FPO over 3 years (₹15L handholding + ₹3L matching equity grant) to register & run farmer collectives; plus ₹10–50L credit guarantee cover and market linkage support for 500–1000 member FPOs,60000,https://sfacindia.com,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_divyang_rojgar,Maharashtra,state,Maharashtra Divyang Rojgar Guarantee Scheme (3% Reservation & Self-Employment Loan),disability; employment; self employment,Maharashtra Social Justice & Special Assistance Dept.,3% reservation in all govt jobs for persons with disabilities + self-employment loan up to ₹5L at 4% interest + free skill training through NHFDC for 40%+ disability certificate holders,5,https://sjsa.maharashtra.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_minority_self_employment,Maharashtra,state,Maharashtra State Minorities Finance & Development Corporation Loan Scheme,business; minority; self employment,Maharashtra Minority Development Dept. / MSDFC,"Soft loan ₹50,000–₹5 Lakh at 4–6% interest for self-employment / small business for minorities (Muslim, Christian, Buddhist, Sikh, Jain, Parsi); income ≤₹3L/year",500000,msdfc.maharashtra.gov.in / District Minority Welfare Office,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_mahila_arthik,Maharashtra,state,Mahila Arthik Vikas Mahamandal (MAVIM) Loan,women; business; shg,Maharashtra Women & Child Development Dept.,Low-interest loan ₹1–₹5 Lakh through SHG for women entrepreneurs,500000,mavim.org.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_mukhyamantri_udyojak,Maharashtra,state,Mukhyamantri Rojgar Nirman Karyakram (CMEGP) – Micro Enterprise,business; entrepreneur; micro enterprise,"Maharashtra Industries, Energy & Labour Dept.","15–35% subsidy on project cost (₹5L–₹50L) to set up micro enterprises in manufacturing or service sector; urban 15%, rural 25%, SC/ST/women/disabled 35%",5,https://www.myscheme.gov.in/schemes/cmegp,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_pm_svanidhi,Maharashtra,state,PM SVANidhi – Street Vendor Micro-Credit Scheme (2025 Revamp),street vendor; urban; micro credit,Ministry of Housing & Urban Affairs (implemented by Maharashtra ULBs),"Collateral-free loans: ₹15,000 (1st), ₹25,000 (2nd), ₹50,000 (3rd tranche) + 7% interest subsidy + UPI-linked RuPay credit card (₹30,000 limit) + ₹1,200/yr cashback on digital payments",1200,https://nmcnagpur.gov.in/assets/300/2025/09/Public-Notices/Scheme_Guidelines_-_6925_(1)_250916_155553.pdf,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_ahilyadevi_mahila_startup,Maharashtra,state,Punyashlok Ahilya Devi Holkar Mahila Startup Yojana,women; startup; business,Maharashtra Women & Child Development Dept.,Seed funding ₹25 Lakh + incubation & mentorship support for women-led startups in Maharashtra,2500000,https://jalgaon.gov.in/en/scheme/punyashlok-ahilya-devi-holkar-mahila-startup-yojana,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_sant_rohidas,Maharashtra,state,Sant Rohidas Charmakar Artisan Scheme,artisan; sc,Maharashtra SC/OBC Finance Corp.,Subsidised loan up to ₹5 Lakh for leather artisans (SC community),500000,mahasamajkalyan.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/maharashtra.js
maha_sheli_mendhi_palan,Maharashtra,state,Goat & Sheep Rearing Scheme (Sheli-Mendhi Gat Vatap),farmer; goat; sheep; animal husbandry,Maharashtra Animal Husbandry & Dairy Development Dept.,"50% subsidy (75% SC/ST) on a unit of 10 goats/sheep + 1 buck/ram (Osmanabadi/Sangamaneri breed); unit value ₹78,000–₹1.29L for supplementary farm income",78000,ahdmaharashtra.gov.in / Zilla Parishad Animal Husbandry Office,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/maharashtra.js
maha_handloom_weaver_welfare,Maharashtra,state,Handloom Weavers Comprehensive Welfare Scheme (Maharashtra),artisan; handloom; weaver,Maharashtra Textile & Handloom Dept.,"Life & accident insurance (PMJJBY + PMSBY) + ₹15,000 health package + 90% subsidy on new loom/accessories (Hathkargha Samvardhan Sahayata) for registered handloom weavers",15000,handloom.maharashtra.gov.in / nearest District Handloom Office,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/maharashtra.js
maha_matsya_vikas,Maharashtra,state,Maharashtra Fisheries Development Scheme (PMMSY State Component),fishermen; aquaculture,Maharashtra Fisheries Dept. (under PMMSY),"40–60% subsidy on fishing boats, nets, aquaculture ponds, ice plants & fish kiosks; SC/ST/women fishers get up to 60% subsidy",75000,https://fisheries.maharashtra.gov.in,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/maharashtra.js
